,league_code,date,home_team,away_team,home_goals,away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_ot,away_shots_ot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,hour,weekday,ft_result_raw,home_points,away_points,goal_diff,goals_total,ht_result_raw,ht_goal_diff,ht_goals_total,home_bookings_pts,away_bookings_pts,season_file,time
0,P1,2017-08-06,Aves,Sp Lisbon,0,2,A,0,1,A,12,12,2,9,6,3,15,16,1,0,0,0,,6,A,0,3,-2,2,A,-1,1,10,0,cleanP1_1718,
1,P1,2017-08-06,Setubal,Moreirense,1,1,D,1,0,H,6,12,2,4,4,8,18,22,1,3,1,0,,6,D,1,1,0,2,H,1,1,35,30,cleanP1_1718,
2,P1,2017-08-07,Feirense,Tondela,1,1,D,0,1,A,12,13,5,6,5,3,19,25,4,1,0,0,,0,D,1,1,0,2,A,-1,1,40,10,cleanP1_1718,
3,P1,2017-08-07,Portimonense,Boavista,2,1,H,0,1,A,12,5,4,2,9,4,14,10,1,1,0,0,,0,H,3,0,1,3,A,-1,1,10,10,cleanP1_1718,
4,P1,2017-08-07,Rio Ave,Belenenses,1,0,H,1,0,H,11,10,5,3,4,8,17,23,2,2,0,0,,0,H,3,0,1,1,H,1,1,20,20,cleanP1_1718,
5,P1,2017-08-08,Maritimo,Pacos Ferreira,1,0,H,0,0,D,7,4,3,1,0,7,13,14,2,2,0,0,,1,H,3,0,1,1,D,0,0,20,20,cleanP1_1718,
6,P1,2017-08-09,Benfica,Sp Braga,3,1,H,2,1,H,15,6,9,1,6,2,13,18,2,3,0,0,,2,H,3,0,2,4,H,1,3,20,30,cleanP1_1718,
7,P1,2017-08-09,Porto,Estoril,4,0,H,1,0,H,17,10,8,4,10,5,18,12,1,1,0,0,,2,H,3,0,4,4,H,1,1,10,10,cleanP1_1718,
8,P1,2017-08-10,Guimaraes,Chaves,3,2,H,2,0,H,16,15,8,3,9,7,21,13,1,4,0,0,,3,H,3,0,1,5,H,2,2,10,40,cleanP1_1718,
9,P1,2017-08-11,Sp Lisbon,Setubal,1,0,H,0,0,D,12,3,5,1,7,1,16,24,1,2,0,0,,4,H,3,0,1,1,D,0,0,10,20,cleanP1_1718,
10,P1,2017-08-12,Belenenses,Maritimo,1,0,H,0,0,D,10,7,4,5,9,4,20,18,3,1,0,0,,5,H,3,0,1,1,D,0,0,30,10,cleanP1_1718,
11,P1,2017-08-12,Boavista,Rio Ave,1,2,A,0,1,A,5,7,2,2,2,3,17,17,3,3,0,0,,5,A,0,3,-1,3,A,-1,1,30,30,cleanP1_1718,
12,P1,2017-08-12,Moreirense,Feirense,0,0,D,0,0,D,11,6,0,4,8,4,18,23,1,2,0,0,,5,D,1,1,0,0,D,0,0,10,20,cleanP1_1718,
13,P1,2017-08-13,Pacos Ferreira,Aves,2,2,D,0,2,A,16,7,5,3,2,3,17,20,1,3,0,0,,6,D,1,1,0,4,A,-2,2,10,30,cleanP1_1718,
14,P1,2017-08-13,Sp Braga,Portimonense,2,1,H,1,1,D,8,8,4,1,5,7,14,21,3,3,0,0,,6,H,3,0,1,3,D,0,2,30,30,cleanP1_1718,
15,P1,2017-08-13,Tondela,Porto,0,1,A,0,1,A,5,15,2,6,2,6,22,10,3,2,0,0,,6,A,0,3,-1,1,A,-1,1,30,20,cleanP1_1718,
16,P1,2017-08-14,Chaves,Benfica,0,1,A,0,0,D,9,21,4,9,5,13,12,15,1,2,0,0,,0,A,0,3,-1,1,D,0,0,10,20,cleanP1_1718,
17,P1,2017-08-14,Estoril,Guimaraes,3,0,H,1,0,H,18,11,5,1,4,7,16,13,2,3,1,2,,0,H,3,0,3,3,H,1,1,45,80,cleanP1_1718,
18,P1,2017-08-18,Rio Ave,Portimonense,2,0,H,0,0,D,11,11,7,4,4,6,15,11,0,0,0,0,,4,H,3,0,2,2,D,0,0,0,0,cleanP1_1718,
19,P1,2017-08-19,Benfica,Belenenses,5,0,H,3,0,H,20,7,14,4,6,2,22,11,0,1,0,0,,5,H,3,0,5,5,H,3,3,0,10,cleanP1_1718,
20,P1,2017-08-19,Guimaraes,Sp Lisbon,0,5,A,0,3,A,8,13,3,10,5,3,18,20,3,2,0,0,,5,A,0,3,-5,5,A,-3,3,30,20,cleanP1_1718,
21,P1,2017-08-19,Tondela,Estoril,2,3,A,0,2,A,14,8,7,4,6,1,23,18,3,2,0,0,,5,A,0,3,-1,5,A,-2,2,30,20,cleanP1_1718,
22,P1,2017-08-20,Aves,Sp Braga,0,2,A,0,0,D,9,18,4,9,4,8,14,10,1,0,1,0,,6,A,0,3,-2,2,D,0,0,35,0,cleanP1_1718,
23,P1,2017-08-20,Maritimo,Boavista,1,0,H,0,0,D,10,9,2,1,2,6,20,10,0,1,0,0,,6,H,3,0,1,1,D,0,0,0,10,cleanP1_1718,
24,P1,2017-08-20,Porto,Moreirense,3,0,H,2,0,H,27,6,11,2,13,3,12,9,0,2,0,0,,6,H,3,0,3,3,H,2,2,0,20,cleanP1_1718,
25,P1,2017-08-20,Setubal,Chaves,1,1,D,0,0,D,19,5,9,2,8,1,16,16,1,4,0,1,,6,D,1,1,0,2,D,0,0,10,65,cleanP1_1718,
26,P1,2017-08-21,Feirense,Pacos Ferreira,2,1,H,1,1,D,12,12,7,3,5,5,20,18,2,2,0,0,,0,H,3,0,1,3,D,0,2,20,20,cleanP1_1718,
27,P1,2017-08-25,Belenenses,Setubal,1,1,D,1,0,H,12,12,5,4,6,6,24,16,3,2,1,0,,4,D,1,1,0,2,H,1,1,55,20,cleanP1_1718,
28,P1,2017-08-26,Chaves,Feirense,0,2,A,0,1,A,17,7,5,5,13,3,12,14,1,4,0,0,,5,A,0,3,-2,2,A,-1,1,10,40,cleanP1_1718,
29,P1,2017-08-26,Moreirense,Tondela,0,3,A,0,1,A,11,12,3,6,8,5,11,21,3,1,1,0,,5,A,0,3,-3,3,A,-1,1,55,10,cleanP1_1718,
30,P1,2017-08-26,Pacos Ferreira,Guimaraes,0,0,D,0,0,D,7,14,4,2,4,7,14,20,3,4,1,0,,5,D,1,1,0,0,D,0,0,55,40,cleanP1_1718,
31,P1,2017-08-26,Rio Ave,Benfica,1,1,D,0,0,D,9,10,3,4,4,5,16,26,4,2,0,0,,5,D,1,1,0,2,D,0,0,40,20,cleanP1_1718,
32,P1,2017-08-27,Boavista,Aves,1,0,H,0,0,D,12,14,3,4,2,2,26,12,2,1,0,1,,6,H,3,0,1,1,D,0,0,20,35,cleanP1_1718,
33,P1,2017-08-27,Sp Braga,Porto,0,1,A,0,1,A,14,21,0,7,5,7,21,10,3,4,0,0,,6,A,0,3,-1,1,A,-1,1,30,40,cleanP1_1718,
